feature,dominance_ratio,dominant_count,dominant_value
has_license,0.9194539249146758,1347,True
recent_activity_days,0.9017064846416383,1321,0
num_ts_files,0.8334470989761092,1221,0
has_src_dir,0.8327645051194539,1220,False
avg_nb_cell_count,0.778839590443686,1141,0.0
num_notebooks,0.7774744027303754,1139,0
has_scripts_dir,0.7030716723549488,1030,False
num_js_files,0.6116040955631399,896,0
has_docs_dir,0.5822525597269624,853,True
num_css_files,0.5781569965870307,847,0
num_html_files,0.5569965870307167,816,0
has_dedicated_test_dir,0.5372013651877133,787,True
num_sh_files,0.3931740614334471,576,0
num_json_files,0.3385665529010239,496,0
avg_test_file_len,0.2696245733788396,395,0.0
test_file_ratio,0.26825938566552904,393,0.0
num_test_files,0.26825938566552904,393,0
num_dependencies,0.13378839590443686,196,0
num_yaml_files,0.0901023890784983,132,1
num_docs_files,0.06279863481228669,92,1
num_dirs,0.022525597269624574,33,7
num_py_files,0.022525597269624574,33,1
other_extensions_count,0.020477815699658702,30,8
open_issues_count,0.017064846416382253,25,1
avg_files_per_dir,0.010238907849829351,15,5.0
num_files,0.006825938566552901,10,44
avg_py_file_len,0.004095563139931741,6,0.0
forks,0.0034129692832764505,5,746
avg_docs_file_len,0.0034129692832764505,5,64.0
repo_age_days,0.0034129692832764505,5,959
stars,0.0020477815699658703,3,4785
repo_size_kb,0.0013651877133105802,2,29644
