feature,mean_abs_shap,variant,model_family,training_run_id,artifact_version
num_dependencies,9.191866018332107e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_yaml_files,5.476666573948445e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_test_files,2.7553191210098287e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_sh_files,2.663252286529601e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_dirs,2.3946411982963174e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_js_files,2.285859580323605e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
test_file_ratio,2.0383000842727484e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
repo_age_days,1.4490813786173969e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
other_extensions_count,1.0704689449673547e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
avg_test_file_len,1.0527603094834249e-18,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_py_files,9.743363523403066e-19,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_html_files,5.576413173817111e-19,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
has_dedicated_test_dir,4.1561083278611005e-19,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
has_license,2.599374708533997e-19,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
stars,1.5766106591560043e-19,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_files,1.4082205092418494e-19,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
repo_size_kb,1.0724566489502448e-19,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_notebooks,1.637597031358314e-20,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_docs_files,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_json_files,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
open_issues_count,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
forks,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_css_files,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
num_ts_files,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
has_scripts_dir,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
has_docs_dir,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
has_src_dir,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
avg_files_per_dir,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
avg_nb_cell_count,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
avg_py_file_len,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
avg_docs_file_len,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
recent_activity_days,0.0,original,decision_tree,20260413_155156,20260413_155156_v1.0.1
