feature,mean_abs_shap,variant,model_family,training_run_id,artifact_version
test_file_ratio,0.030510283078129075,original,neural_network,20260413_155156,20260413_155156_v1.0.1
repo_age_days,0.02728876363842024,original,neural_network,20260413_155156,20260413_155156_v1.0.1
has_src_dir,0.023027238763868814,original,neural_network,20260413_155156,20260413_155156_v1.0.1
has_docs_dir,0.020754537238760137,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_test_files,0.019033267303225066,original,neural_network,20260413_155156,20260413_155156_v1.0.1
has_dedicated_test_dir,0.018544729353404708,original,neural_network,20260413_155156,20260413_155156_v1.0.1
repo_size_kb,0.015809059044967086,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_py_files,0.015300589132019222,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_ts_files,0.014944171295356391,original,neural_network,20260413_155156,20260413_155156_v1.0.1
avg_test_file_len,0.014521003833495905,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_dependencies,0.012350695665139291,original,neural_network,20260413_155156,20260413_155156_v1.0.1
forks,0.012012886367489893,original,neural_network,20260413_155156,20260413_155156_v1.0.1
stars,0.011963574257658588,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_sh_files,0.011239832409595453,original,neural_network,20260413_155156,20260413_155156_v1.0.1
open_issues_count,0.009947806333709095,original,neural_network,20260413_155156,20260413_155156_v1.0.1
avg_docs_file_len,0.009434996396054829,original,neural_network,20260413_155156,20260413_155156_v1.0.1
has_scripts_dir,0.0088846529028068,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_docs_files,0.008484846407299245,original,neural_network,20260413_155156,20260413_155156_v1.0.1
recent_activity_days,0.007902654645881716,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_js_files,0.007850804967764347,original,neural_network,20260413_155156,20260413_155156_v1.0.1
has_license,0.007531411841097804,original,neural_network,20260413_155156,20260413_155156_v1.0.1
avg_py_file_len,0.007412800690655913,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_css_files,0.006830315322180593,original,neural_network,20260413_155156,20260413_155156_v1.0.1
avg_nb_cell_count,0.006207792621726797,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_html_files,0.006041181703574129,original,neural_network,20260413_155156,20260413_155156_v1.0.1
other_extensions_count,0.006011138828222952,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_files,0.005624204929711091,original,neural_network,20260413_155156,20260413_155156_v1.0.1
avg_files_per_dir,0.005481378667139342,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_dirs,0.005273139383519691,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_yaml_files,0.004621112094943723,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_notebooks,0.003934511362098989,original,neural_network,20260413_155156,20260413_155156_v1.0.1
num_json_files,0.0021505070317536577,original,neural_network,20260413_155156,20260413_155156_v1.0.1
