feature,mean_abs_shap,variant,model_family,training_run_id,artifact_version
num_yaml_files,3.906127446958359e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
repo_age_days,2.636606888763507e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
test_file_ratio,2.2410639605637456e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_py_file_len,2.1777826937630086e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_docs_files,2.019931892467223e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_dependencies,1.7147651209849697e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_test_files,1.6018093246481884e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_sh_files,1.3290285755598874e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_test_file_len,1.240688686047579e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_files,1.1646409386658248e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_dirs,1.0862486040860708e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_py_files,9.952501604966468e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
repo_size_kb,9.037615671750784e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_js_files,7.879348938357363e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_docs_file_len,7.273370274119006e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
other_extensions_count,5.418345532086829e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_json_files,5.294904597240302e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
stars,5.2650664499516905e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_files_per_dir,5.026451621823839e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
forks,4.9296188152937275e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
open_issues_count,4.9006502884976306e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
has_dedicated_test_dir,4.793257804558415e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_css_files,4.624619191646399e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_nb_cell_count,3.835622118494806e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_ts_files,3.665439082175629e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_html_files,2.5848960920222632e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
has_license,1.774034275058879e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
has_docs_dir,1.703371963155768e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
has_src_dir,1.6042578145543847e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
recent_activity_days,6.652032079103772e-19,original,random_forest,20260413_155156,20260413_155156_v1.0.1
has_scripts_dir,5.852545914622013e-19,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_notebooks,5.7021693320528e-19,original,random_forest,20260413_155156,20260413_155156_v1.0.1
