feature,mean_abs_shap,variant,model_family,training_run_id,artifact_version
has_dedicated_test_dir,0.015053391286096836,original,svm,20260413_155156,20260413_155156_v1.0.1
test_file_ratio,0.015043818435869577,original,svm,20260413_155156,20260413_155156_v1.0.1
has_docs_dir,0.009603020563258681,original,svm,20260413_155156,20260413_155156_v1.0.1
avg_test_file_len,0.009062397060993946,original,svm,20260413_155156,20260413_155156_v1.0.1
repo_age_days,0.008036974492464285,original,svm,20260413_155156,20260413_155156_v1.0.1
avg_docs_file_len,0.007319112750143281,original,svm,20260413_155156,20260413_155156_v1.0.1
num_py_files,0.007090825506143873,original,svm,20260413_155156,20260413_155156_v1.0.1
has_src_dir,0.00707391224708186,original,svm,20260413_155156,20260413_155156_v1.0.1
has_license,0.006931353641937313,original,svm,20260413_155156,20260413_155156_v1.0.1
forks,0.006494974378930871,original,svm,20260413_155156,20260413_155156_v1.0.1
num_sh_files,0.006373610642178947,original,svm,20260413_155156,20260413_155156_v1.0.1
num_test_files,0.006030510933180038,original,svm,20260413_155156,20260413_155156_v1.0.1
repo_size_kb,0.0054715713691569955,original,svm,20260413_155156,20260413_155156_v1.0.1
recent_activity_days,0.004677315375010666,original,svm,20260413_155156,20260413_155156_v1.0.1
stars,0.004588591243107342,original,svm,20260413_155156,20260413_155156_v1.0.1
num_css_files,0.00452143338476132,original,svm,20260413_155156,20260413_155156_v1.0.1
has_scripts_dir,0.004508272331962807,original,svm,20260413_155156,20260413_155156_v1.0.1
num_js_files,0.0041149085526841645,original,svm,20260413_155156,20260413_155156_v1.0.1
open_issues_count,0.0039776720302734945,original,svm,20260413_155156,20260413_155156_v1.0.1
num_dependencies,0.00380025661149475,original,svm,20260413_155156,20260413_155156_v1.0.1
num_dirs,0.0037980748703535755,original,svm,20260413_155156,20260413_155156_v1.0.1
avg_py_file_len,0.00372497499962815,original,svm,20260413_155156,20260413_155156_v1.0.1
num_files,0.0037039726372949484,original,svm,20260413_155156,20260413_155156_v1.0.1
other_extensions_count,0.002947257145035038,original,svm,20260413_155156,20260413_155156_v1.0.1
num_html_files,0.002931747868229999,original,svm,20260413_155156,20260413_155156_v1.0.1
num_ts_files,0.0029104809493846707,original,svm,20260413_155156,20260413_155156_v1.0.1
avg_nb_cell_count,0.0028269684162670413,original,svm,20260413_155156,20260413_155156_v1.0.1
num_docs_files,0.0026382770902376707,original,svm,20260413_155156,20260413_155156_v1.0.1
avg_files_per_dir,0.0017579368679627653,original,svm,20260413_155156,20260413_155156_v1.0.1
num_yaml_files,0.001412984303328677,original,svm,20260413_155156,20260413_155156_v1.0.1
num_notebooks,0.0012086718399891806,original,svm,20260413_155156,20260413_155156_v1.0.1
num_json_files,0.0009794803304936717,original,svm,20260413_155156,20260413_155156_v1.0.1
