variant,model_family,n_candidates_tested,model__criterion,model__learning_rate,model__max_depth,model__min_samples_leaf,model__n_estimators,model__subsample,model__max_features,model__min_samples_split,model__batch_size,model__epochs,model__hidden_activation,model__hidden_layer_sizes,model__l2_alpha,model__optimizer_name,model__C,model__gamma,model__kernel
corr_060,gradient_boosting,144,friedman_mse,0.03,3.0,2.0,100.0,0.8,,,,,,,,,,,
corr_060,random_forest,72,,,30.0,1.0,200.0,,sqrt,2.0,,,,,,,,,
corr_060,decision_tree,54,entropy,,5.0,1.0,,,,10.0,,,,,,,,,
corr_060,neural_network,36,,0.0007,,,,,,,64.0,250.0,relu,[54],0.001,adam,,,
corr_060,svm,20,,,,,,,,,,,,,,,5.0,scale,linear
corr_070,gradient_boosting,144,friedman_mse,0.1,3.0,2.0,50.0,0.8,,,,,,,,,,,
corr_070,random_forest,72,,,30.0,1.0,100.0,,sqrt,5.0,,,,,,,,,
corr_070,decision_tree,54,entropy,,5.0,1.0,,,,10.0,,,,,,,,,
corr_070,neural_network,36,,0.0007,,,,,,,64.0,250.0,relu,[35],0.001,adam,,,
corr_070,svm,20,,,,,,,,,,,,,,,5.0,scale,rbf
dom_080,gradient_boosting,144,squared_error,0.05,3.0,1.0,100.0,0.8,,,,,,,,,,,
dom_080,random_forest,72,,,20.0,1.0,100.0,,sqrt,2.0,,,,,,,,,
dom_080,decision_tree,54,gini,,5.0,1.0,,,,2.0,,,,,,,,,
dom_080,neural_network,36,,0.0015,,,,,,,64.0,250.0,relu,[34],0.001,adam,,,
dom_080,svm,20,,,,,,,,,,,,,,,20.0,scale,rbf
manual_selection,gradient_boosting,144,squared_error,0.1,3.0,2.0,50.0,0.8,,,,,,,,,,,
manual_selection,random_forest,72,,,30.0,1.0,200.0,,sqrt,10.0,,,,,,,,,
manual_selection,decision_tree,54,gini,,5.0,4.0,,,,2.0,,,,,,,,,
manual_selection,neural_network,36,,0.0007,,,,,,,32.0,250.0,relu,[35],0.001,adam,,,
manual_selection,svm,20,,,,,,,,,,,,,,,20.0,scale,rbf
original,gradient_boosting,144,squared_error,0.05,3.0,1.0,150.0,0.8,,,,,,,,,,,
original,random_forest,72,,,30.0,2.0,200.0,,sqrt,5.0,,,,,,,,,
original,decision_tree,54,gini,,5.0,1.0,,,,2.0,,,,,,,,,
original,neural_network,36,,0.0007,,,,,,,32.0,250.0,relu,[32],0.0005,adam,,,
original,svm,20,,,,,,,,,,,,,,,5.0,scale,rbf
