variant,model_family,f1_weighted_mean,f1_weighted_std,n_candidates_tested,best_params_json
corr_060,gradient_boosting,0.4763033545224958,0.0283880394774605,144,"{""model__criterion"": ""friedman_mse"", ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100, ""model__subsample"": 0.8}"
corr_060,random_forest,0.47037224119813,0.0374383500566581,72,"{""model__max_depth"": 30, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}"
corr_060,decision_tree,0.4467460997209254,0.0314686723530863,54,"{""model__criterion"": ""entropy"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 10}"
corr_060,neural_network,0.4085201925705071,0.0345817105771461,36,"{""model__batch_size"": 64, ""model__epochs"": 250, ""model__hidden_activation"": ""relu"", ""model__hidden_layer_sizes"": [54], ""model__l2_alpha"": 0.001, ""model__learning_rate"": 0.0007, ""model__optimizer_name"": ""adam""}"
corr_060,svm,0.3839601850769456,0.0286487888545721,20,"{""model__C"": 5.0, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
corr_070,gradient_boosting,0.4783156956157655,0.034134384828952,144,"{""model__criterion"": ""friedman_mse"", ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50, ""model__subsample"": 0.8}"
corr_070,random_forest,0.4634979075447162,0.0366529228928113,72,"{""model__max_depth"": 30, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 100}"
corr_070,decision_tree,0.4380485830740142,0.0318084654404829,54,"{""model__criterion"": ""entropy"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 10}"
corr_070,neural_network,0.3997160438226804,0.0234621129240323,36,"{""model__batch_size"": 64, ""model__epochs"": 250, ""model__hidden_activation"": ""relu"", ""model__hidden_layer_sizes"": [35], ""model__l2_alpha"": 0.001, ""model__learning_rate"": 0.0007, ""model__optimizer_name"": ""adam""}"
corr_070,svm,0.3872399929472016,0.0239562103284931,20,"{""model__C"": 5.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
dom_080,gradient_boosting,0.4734659978738305,0.0287101605731303,144,"{""model__criterion"": ""squared_error"", ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100, ""model__subsample"": 0.8}"
dom_080,random_forest,0.4604842580140372,0.0445452590499417,72,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 100}"
dom_080,decision_tree,0.4359233430897913,0.048089426539151,54,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}"
dom_080,neural_network,0.4068856119177627,0.025259706204175,36,"{""model__batch_size"": 64, ""model__epochs"": 250, ""model__hidden_activation"": ""relu"", ""model__hidden_layer_sizes"": [34], ""model__l2_alpha"": 0.001, ""model__learning_rate"": 0.0015, ""model__optimizer_name"": ""adam""}"
dom_080,svm,0.3907030830961149,0.0260389681437047,20,"{""model__C"": 20.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
manual_selection,gradient_boosting,0.4802423425764097,0.0381500494806973,144,"{""model__criterion"": ""squared_error"", ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50, ""model__subsample"": 0.8}"
manual_selection,random_forest,0.4620295191788267,0.0355410066869795,72,"{""model__max_depth"": 30, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 10, ""model__n_estimators"": 200}"
manual_selection,decision_tree,0.4375583198235778,0.052936637437011,54,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 4, ""model__min_samples_split"": 2}"
manual_selection,neural_network,0.4083724260999848,0.0317110039146567,36,"{""model__batch_size"": 32, ""model__epochs"": 250, ""model__hidden_activation"": ""relu"", ""model__hidden_layer_sizes"": [35], ""model__l2_alpha"": 0.001, ""model__learning_rate"": 0.0007, ""model__optimizer_name"": ""adam""}"
manual_selection,svm,0.3875907693780636,0.027564612445055,20,"{""model__C"": 20.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
original,gradient_boosting,0.4759569843476863,0.0366647422442197,144,"{""model__criterion"": ""squared_error"", ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 150, ""model__subsample"": 0.8}"
original,random_forest,0.4576637943014979,0.0311813305772676,72,"{""model__max_depth"": 30, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}"
original,decision_tree,0.4321252469377256,0.0454855760591041,54,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}"
original,neural_network,0.4039415815463275,0.0332524814344425,36,"{""model__batch_size"": 32, ""model__epochs"": 250, ""model__hidden_activation"": ""relu"", ""model__hidden_layer_sizes"": [32], ""model__l2_alpha"": 0.0005, ""model__learning_rate"": 0.0007, ""model__optimizer_name"": ""adam""}"
original,svm,0.3858598015309371,0.0309252219441675,20,"{""model__C"": 5.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
