variant,model_family,criterion,f1_score,score_mean,score_sd,candidates
corr_060,gradient_boosting,friedman_mse,0.4584 ± 0.0052,0.45843165122238666,0.005159408955368188,72
corr_060,gradient_boosting,squared_error,0.4581 ± 0.0051,0.45813851048404314,0.005121880770888449,72
corr_070,gradient_boosting,friedman_mse,0.4585 ± 0.0076,0.45854319383399844,0.007593998846890924,72
corr_070,gradient_boosting,squared_error,0.4586 ± 0.0077,0.45862911784113614,0.007721736580031616,72
dom_080,gradient_boosting,friedman_mse,0.4600 ± 0.0073,0.45996492685527346,0.007318407507158711,72
dom_080,gradient_boosting,squared_error,0.4599 ± 0.0075,0.459943744412718,0.00746838682222726,72
manual_selection,gradient_boosting,friedman_mse,0.4614 ± 0.0086,0.4613989438062293,0.008571983115292274,72
manual_selection,gradient_boosting,squared_error,0.4612 ± 0.0083,0.46118643760267886,0.00831452026349829,72
original,gradient_boosting,friedman_mse,0.4596 ± 0.0077,0.4595561140238874,0.007749901313683552,72
original,gradient_boosting,squared_error,0.4593 ± 0.0080,0.45934210731155656,0.00798209591806126,72
