variant,model_family,param_value,candidates_tested,rank_refit_best,refit_mean_avg,refit_mean_best,refit_std_avg,param_name
original,gradient_boosting,friedman_mse,72,6,0.4595561140238874,0.4719841185166175,0.032783500894885,model__criterion
original,gradient_boosting,squared_error,72,1,0.4593421073115565,0.4759569843476864,0.032896858393638,model__criterion
original,gradient_boosting,100,48,3,0.4620673026754791,0.4744460157069956,0.0321024161965553,model__n_estimators
original,gradient_boosting,150,48,1,0.4608656134137312,0.4759569843476864,0.0321707539218376,model__n_estimators
original,gradient_boosting,50,48,4,0.4554144159139555,0.4736575071654157,0.0342473688143916,model__n_estimators
corr_060,gradient_boosting,friedman_mse,72,1,0.4584316512223866,0.4763033545224958,0.0360308328212888,model__criterion
corr_060,gradient_boosting,squared_error,72,3,0.4581385104840431,0.4707586817601052,0.036022533526592,model__criterion
corr_060,gradient_boosting,100,48,1,0.4591579545125768,0.4763033545224958,0.0350364908603955,model__n_estimators
corr_060,gradient_boosting,150,48,5,0.459271385859947,0.4698254167356125,0.0364554300050278,model__n_estimators
corr_060,gradient_boosting,50,48,11,0.4564259021871207,0.466274886007173,0.0365881286563978,model__n_estimators
corr_070,gradient_boosting,friedman_mse,72,1,0.4585431938339984,0.4783156956157655,0.0368234944223187,model__criterion
corr_070,gradient_boosting,squared_error,72,3,0.4586291178411361,0.4758506579582002,0.0373110066928441,model__criterion
corr_070,gradient_boosting,100,48,3,0.4605697157639764,0.4758506579582002,0.0368795414557505,model__n_estimators
corr_070,gradient_boosting,150,48,2,0.4603673047350027,0.4763459214301765,0.0377988512117575,model__n_estimators
corr_070,gradient_boosting,50,48,1,0.4548214470137227,0.4783156956157655,0.0365233590052361,model__n_estimators
manual_selection,gradient_boosting,friedman_mse,72,3,0.4613989438062293,0.479698829624242,0.0359683695922262,model__criterion
manual_selection,gradient_boosting,squared_error,72,1,0.4611864376026788,0.4802423425764096,0.0359057879007718,model__criterion
manual_selection,gradient_boosting,100,48,5,0.4631554883216122,0.4789587559185973,0.0365683458073359,model__n_estimators
manual_selection,gradient_boosting,150,48,2,0.4641128022334241,0.4800708006791511,0.0363713388118748,model__n_estimators
manual_selection,gradient_boosting,50,48,1,0.456609781558326,0.4802423425764096,0.0348715516202865,model__n_estimators
dom_080,gradient_boosting,friedman_mse,72,2,0.4599649268552734,0.4730611297126325,0.0345980381107261,model__criterion
dom_080,gradient_boosting,squared_error,72,1,0.459943744412718,0.4734659978738305,0.0344148621708638,model__criterion
dom_080,gradient_boosting,100,48,1,0.4626872479644009,0.4734659978738305,0.0348787748567456,model__n_estimators
dom_080,gradient_boosting,150,48,2,0.461043545941521,0.4730611297126325,0.0348065021173643,model__n_estimators
dom_080,gradient_boosting,50,48,8,0.4561322129960652,0.470509283726854,0.0338340734482749,model__n_estimators
