variant,model_family,n_estimators,f1_score,score_mean,score_sd,candidates
corr_060,gradient_boosting,50,0.4564 ± 0.0044,0.4564259021871207,0.004376053374027669,48
corr_060,gradient_boosting,100,0.4592 ± 0.0053,0.45915795451257685,0.005305054655299239,48
corr_060,gradient_boosting,150,0.4593 ± 0.0052,0.45927138585994703,0.005226153573594089,48
corr_070,gradient_boosting,50,0.4548 ± 0.0074,0.4548214470137227,0.007435173159899701,48
corr_070,gradient_boosting,100,0.4606 ± 0.0071,0.4605697157639764,0.007074886360172205,48
corr_070,gradient_boosting,150,0.4604 ± 0.0071,0.4603673047350027,0.0070799645356335395,48
dom_080,gradient_boosting,50,0.4561 ± 0.0090,0.45613221299606527,0.009010857232422046,48
dom_080,gradient_boosting,100,0.4627 ± 0.0048,0.46268724796440086,0.0048077615776371775,48
dom_080,gradient_boosting,150,0.4610 ± 0.0061,0.46104354594152097,0.006090847412511308,48
manual_selection,gradient_boosting,50,0.4566 ± 0.0086,0.45660978155832604,0.00860691427576103,48
manual_selection,gradient_boosting,100,0.4632 ± 0.0075,0.4631554883216122,0.007540812288409484,48
manual_selection,gradient_boosting,150,0.4641 ± 0.0071,0.46411280223342416,0.007103646573587667,48
original,gradient_boosting,50,0.4554 ± 0.0089,0.45541441591395554,0.008899918400927112,48
original,gradient_boosting,100,0.4621 ± 0.0065,0.4620673026754791,0.006459655578416822,48
original,gradient_boosting,150,0.4609 ± 0.0064,0.46086561341373117,0.006356359469715894,48
