variant,model,f1-score,balanced acc,accuracy,precision,recall
corr_060,decision_tree,0.447 ± 0.031,0.305 ± 0.045,0.478 ± 0.028,0.432 ± 0.04,0.478 ± 0.028
corr_060,gradient_boosting,0.476 ± 0.028,0.326 ± 0.032,0.513 ± 0.029,0.477 ± 0.04,0.513 ± 0.029
corr_060,neural_network,0.409 ± 0.035,0.262 ± 0.035,0.439 ± 0.036,0.41 ± 0.051,0.439 ± 0.036
corr_060,random_forest,0.47 ± 0.037,0.311 ± 0.034,0.515 ± 0.035,0.467 ± 0.048,0.515 ± 0.035
corr_060,svm,0.384 ± 0.029,0.248 ± 0.022,0.439 ± 0.028,0.375 ± 0.045,0.439 ± 0.028
corr_070,decision_tree,0.438 ± 0.032,0.29 ± 0.032,0.474 ± 0.03,0.424 ± 0.037,0.474 ± 0.03
corr_070,gradient_boosting,0.478 ± 0.034,0.334 ± 0.034,0.509 ± 0.04,0.481 ± 0.034,0.509 ± 0.04
corr_070,neural_network,0.4 ± 0.023,0.259 ± 0.027,0.433 ± 0.026,0.4 ± 0.027,0.433 ± 0.026
corr_070,random_forest,0.463 ± 0.037,0.304 ± 0.031,0.509 ± 0.037,0.452 ± 0.041,0.509 ± 0.037
corr_070,svm,0.387 ± 0.024,0.248 ± 0.016,0.433 ± 0.026,0.399 ± 0.043,0.433 ± 0.026
dom_080,decision_tree,0.436 ± 0.048,0.295 ± 0.032,0.465 ± 0.049,0.429 ± 0.044,0.465 ± 0.049
dom_080,gradient_boosting,0.473 ± 0.029,0.326 ± 0.034,0.507 ± 0.03,0.47 ± 0.032,0.507 ± 0.03
dom_080,neural_network,0.407 ± 0.025,0.263 ± 0.024,0.433 ± 0.027,0.403 ± 0.026,0.433 ± 0.027
dom_080,random_forest,0.46 ± 0.045,0.301 ± 0.033,0.507 ± 0.048,0.45 ± 0.056,0.507 ± 0.048
dom_080,svm,0.391 ± 0.026,0.261 ± 0.023,0.426 ± 0.025,0.401 ± 0.038,0.426 ± 0.025
manual_selection,decision_tree,0.438 ± 0.053,0.295 ± 0.049,0.468 ± 0.047,0.433 ± 0.06,0.468 ± 0.047
manual_selection,gradient_boosting,0.48 ± 0.038,0.325 ± 0.04,0.51 ± 0.038,0.476 ± 0.035,0.51 ± 0.038
manual_selection,neural_network,0.408 ± 0.032,0.267 ± 0.029,0.44 ± 0.032,0.409 ± 0.037,0.44 ± 0.032
manual_selection,random_forest,0.462 ± 0.036,0.302 ± 0.025,0.513 ± 0.036,0.458 ± 0.044,0.513 ± 0.036
manual_selection,svm,0.388 ± 0.028,0.256 ± 0.029,0.421 ± 0.028,0.393 ± 0.033,0.421 ± 0.028
original,decision_tree,0.432 ± 0.045,0.293 ± 0.032,0.461 ± 0.044,0.429 ± 0.041,0.461 ± 0.044
original,gradient_boosting,0.476 ± 0.037,0.326 ± 0.037,0.507 ± 0.037,0.473 ± 0.036,0.507 ± 0.037
original,neural_network,0.404 ± 0.033,0.266 ± 0.034,0.432 ± 0.032,0.395 ± 0.039,0.432 ± 0.032
original,random_forest,0.458 ± 0.031,0.297 ± 0.023,0.506 ± 0.033,0.446 ± 0.046,0.506 ± 0.033
original,svm,0.386 ± 0.031,0.247 ± 0.023,0.433 ± 0.031,0.395 ± 0.054,0.433 ± 0.031
